origin,dest,count,average_delay
ANC,SEA,4152,15.2436214
ANC,PDX,688,20.51724138
ANC,OTZ,491,20.85714286
ANC,SCC,536,19.07567568
ANC,JNU,861,21.82692308
ANC,PHX,50,11
ANC,OGG,40,39.14285714
ANC,OME,301,21.39622642
ANC,BET,731,21.27642276
ANC,HNL,213,18.2244898
ANC,ADK,76,18
ANC,ORD,249,19.36111111
ANC,LAS,68,26.55555556
ANC,FAI,272,26
ANC,LAX,322,23.23529412
ANC,KOA,28,10
ANC,ADQ,382,17.12068966
ANC,CDV,270,15.73214286
ANC,BRW,150,22.38235294
ANC,DLG,77,17.58823529
ANC,AKN,63,15.34615385
SEA,ANC,4162,17.2974359
SEA,SJC,1746,16.65066667
SEA,OAK,1049,16.97704082
SEA,SFO,2209,30.4956427
SEA,LAS,2297,15.52977413
SEA,LAX,3676,21.68253968
SEA,SNA,1938,12.6625
SEA,SAN,1829,15.04503311
SEA,SLC,566,18.30215827
SEA,PSP,563,17.48241206
SEA,DFW,771,15.415625
SEA,SMF,1483,15.83358321
SEA,ONT,364,20.4
SEA,JNU,998,19.60784314
SEA,PHX,1420,19.4304419
SEA,KTN,1014,21.00921659
SEA,DEN,1350,17.04298643
SEA,BUR,836,16.20478723
SEA,EWR,530,28.25165563
SEA,GEG,1247,16.01435407
SEA,MCO,349,16.65060241
SEA,DCA,537,29.76428571
SEA,BWI,272,20.73584906
SEA,ORD,928,23.72786885
SEA,TPA,273,20.56730769
SEA,PHL,271,36.06578947
SEA,LIH,432,27.71681416
SEA,FLL,272,18.79
SEA,DTW,273,15.47727273
SEA,OGG,458,21.30769231
SEA,BOS,632,20.02564103
SEA,ATL,311,19.06796117
SEA,HNL,668,27.31623932
SEA,TUS,286,13.34020619
SEA,MCI,333,18.82905983
SEA,KOA,448,26.41860465
SEA,MSP,482,18.38888889
SEA,IAH,319,16.5177305
SEA,MSY,271,19.84466019
SEA,ABQ,273,34
SEA,SAT,273,17.2300885
SEA,STL,339,21.1875
SEA,AUS,339,20.17261905
SEA,FAI,989,18.68681319
SEA,BLI,186,17.60194175
