airline,origin,dest,cancelledA,cancelledB,cancelledC,cancelledD,cluster1_count,cluster2_count,cluster3_count,total_count,cancelled_count,air_system_delays_count,security_delays_count,airline_delays_count,aircraft_delays_count,weather_delays_count,others_count,full_name
AS,ANC,SEA,27,0,0,0,3359,722,71,4152,27,210,1,184,109,3,867,Alaska Airlines Inc
AS,ANC,PDX,1,0,0,0,601,71,16,688,1,22,0,22,16,0,102,Alaska Airlines Inc
AS,ANC,OTZ,0,7,0,0,371,100,20,491,7,47,0,37,14,5,120,Alaska Airlines Inc
AS,ANC,SCC,0,1,0,0,422,95,19,536,1,43,0,29,20,18,118,Alaska Airlines Inc
AS,ANC,JNU,1,0,0,0,668,153,40,861,1,51,1,51,32,5,214,Alaska Airlines Inc
AS,ANC,PHX,0,0,0,0,44,6,0,50,0,2,0,1,1,0,5,Alaska Airlines Inc
AS,ANC,OGG,0,0,0,0,34,5,1,40,0,2,0,1,1,0,3,Alaska Airlines Inc
AS,ANC,OME,2,3,0,0,231,58,12,301,5,19,0,19,8,3,75,Alaska Airlines Inc
AS,ANC,BET,5,3,0,0,571,130,30,731,8,44,0,50,23,7,165,Alaska Airlines Inc
AS,ANC,HNL,0,0,0,0,179,30,4,213,0,11,0,7,4,0,32,Alaska Airlines Inc
AS,ANC,ADK,0,2,0,0,58,15,3,76,2,4,0,0,6,0,17,Alaska Airlines Inc
AS,ANC,ORD,0,0,0,0,199,45,5,249,0,16,0,18,3,1,45,Alaska Airlines Inc
AS,ANC,LAS,0,0,0,0,61,6,1,68,0,4,0,3,0,0,5,Alaska Airlines Inc
AS,ANC,FAI,0,1,0,0,208,44,20,272,1,35,0,35,13,1,36,Alaska Airlines Inc
AS,ANC,LAX,1,0,0,0,272,38,12,322,1,15,0,17,11,0,38,Alaska Airlines Inc
AS,ANC,KOA,0,0,0,0,27,1,0,28,0,0,0,1,0,0,1,Alaska Airlines Inc
AS,ANC,ADQ,2,16,0,0,307,66,9,382,18,29,0,22,13,3,75,Alaska Airlines Inc
AS,ANC,CDV,0,0,0,0,194,65,11,270,0,17,0,16,12,0,79,Alaska Airlines Inc
AS,ANC,BRW,0,1,0,0,107,32,11,150,1,13,0,11,9,1,44,Alaska Airlines Inc
AS,ANC,DLG,0,0,0,0,66,9,2,77,0,4,0,2,1,0,13,Alaska Airlines Inc
AS,ANC,AKN,0,0,0,0,43,20,0,63,0,8,0,5,7,0,16,Alaska Airlines Inc
AS,SEA,ANC,18,0,0,0,2948,1084,130,4162,18,394,6,347,153,10,1127,Alaska Airlines Inc
AS,SEA,SJC,0,0,0,0,1278,400,68,1746,0,150,1,123,81,4,522,Alaska Airlines Inc
AS,SEA,OAK,2,0,0,0,792,221,36,1049,2,83,1,62,52,4,265,Alaska Airlines Inc
AS,SEA,SFO,4,0,0,0,1517,480,212,2209,4,370,2,166,77,22,421,Alaska Airlines Inc
AS,SEA,LAS,2,0,0,0,1711,511,75,2297,2,196,2,131,94,5,690,Alaska Airlines Inc
AS,SEA,LAX,5,0,1,0,2594,871,211,3676,6,486,1,219,115,6,879,Alaska Airlines Inc
AS,SEA,SNA,8,0,0,0,1560,348,30,1938,8,103,0,78,32,1,489,Alaska Airlines Inc
AS,SEA,SAN,1,0,0,0,1348,432,49,1829,1,148,2,133,57,3,528,Alaska Airlines Inc
AS,SEA,SLC,0,0,0,0,477,74,15,566,0,24,0,40,10,2,88,Alaska Airlines Inc
AS,SEA,PSP,0,0,0,0,440,106,17,563,0,39,0,36,17,1,140,Alaska Airlines Inc
AS,SEA,DFW,0,0,0,0,550,205,16,771,0,84,1,49,19,6,208,Alaska Airlines Inc
AS,SEA,SMF,1,0,0,0,1055,379,49,1483,1,143,1,120,71,4,450,Alaska Airlines Inc
AS,SEA,ONT,0,0,0,0,292,58,14,364,0,22,0,20,16,0,74,Alaska Airlines Inc
AS,SEA,JNU,2,0,0,0,670,281,47,998,2,129,0,102,31,6,280,Alaska Airlines Inc
AS,SEA,PHX,0,0,0,0,1019,340,61,1420,0,136,1,124,69,6,398,Alaska Airlines Inc
AS,SEA,KTN,3,0,0,0,709,261,44,1014,3,95,0,107,36,2,278,Alaska Airlines Inc
AS,SEA,DEN,0,0,0,0,1053,259,38,1350,0,109,0,84,41,3,281,Alaska Airlines Inc
AS,SEA,BUR,0,0,0,0,602,204,30,836,0,82,0,59,31,1,261,Alaska Airlines Inc
AS,SEA,EWR,0,5,0,0,415,84,31,530,5,46,0,28,19,4,74,Alaska Airlines Inc
AS,SEA,GEG,2,0,0,0,862,337,48,1247,2,134,1,125,53,4,420,Alaska Airlines Inc
AS,SEA,MCO,0,0,0,0,290,53,6,349,0,28,1,11,5,2,47,Alaska Airlines Inc
AS,SEA,DCA,0,0,0,0,418,94,25,537,0,60,0,22,10,4,60,Alaska Airlines Inc
AS,SEA,BWI,0,0,0,0,233,34,5,272,0,14,0,13,0,0,32,Alaska Airlines Inc
AS,SEA,ORD,0,1,0,0,712,174,42,928,1,84,0,59,22,6,177,Alaska Airlines Inc
AS,SEA,TPA,0,0,0,0,191,73,9,273,0,43,0,16,2,1,54,Alaska Airlines Inc
AS,SEA,PHL,0,1,0,0,212,39,20,271,1,32,0,12,1,3,36,Alaska Airlines Inc
AS,SEA,LIH,0,0,0,0,342,71,19,432,0,34,0,23,11,2,57,Alaska Airlines Inc
AS,SEA,FLL,0,0,0,0,196,66,10,272,0,28,0,15,5,3,63,Alaska Airlines Inc
AS,SEA,DTW,0,0,0,0,219,49,5,273,0,20,0,17,2,0,57,Alaska Airlines Inc
AS,SEA,OGG,0,0,0,0,332,111,15,458,0,58,1,28,16,6,81,Alaska Airlines Inc
AS,SEA,BOS,1,7,0,0,497,113,22,632,8,44,0,35,17,2,128,Alaska Airlines Inc
